CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
California Lutheran University,California Lutheran University,"60 W Olsen Rd, Thousand Oaks, California 91360-2787",City: Midsize,Yes,71712799.0,25394.0,11442750.00 ,7094.00 ,3078,1225,479,4,Privatenot-for-profit,CA,91360,Thousand Oaks,Ventura County,0.0,0.0,0,0,0,0,42057.5,60914.5,19406.0,150.0
California Polytechnic State University -San Luis Obispo,California Polytechnic State University-San Luis Obispo,"1 Grand Ave., San Luis Obispo, California 93407",Suburb: Small,Yes,75371010.0,6768.0,36823915.00 ,6032.00 ,20503,923,1292,4,Public,CA,93407,San Luis Obispo,San Luis Obispo County,21769.0,9566.5,7176,16680,4201,4201,0.0,27614.5,,
California State Polytechnic University -Pomona,California State Polytechnic University-Pomona,"3801 West Temple Avenue, Pomona, California 91768",Suburb: Large,Yes,150156444.0,8804.0,51750041.00 ,6492.00 ,26454,1604,1453,4,Public,CA,91768,Pomona,Los Angeles County,18988.75,7288.75,7176,16680,1654,1654,0.0,27259.25,,
California State University -Bakersfield,California State University-Bakersfield,"9001 Stockdale Hwy, Bakersfield, California 93311-1099",City: Large,Yes,70111859.0,9446.0,18616180.00 ,6234.00 ,9981,1550,647,4,Public,CA,93311,Bakersfield,Kern County,18883.0,7183.0,7176,16680,1677,1677,0.0,25645.75,,
California State University -Chico,California State University-Chico,"First and Normal Sts, Chico, California 95929-0150",City: Small,Yes,92610455.0,8851.0,41593615.00 ,5783.00 ,16164,946,951,4,Public,CA,95929,Chico,Butte County,19150.5,7450.5,7176,16680,2064,2064,0.0,24721.0,,
California State University -Fresno,California State University-Fresno,"5241 N Maple Ave, Fresno, California 93740",City: Large,Yes,167571935.0,9632.0,36147961.00 ,6035.00 ,21541,2757,1421,4,Public,CA,93740,Fresno,Fresno County,18218.5,6518.5,7176,16680,847,847,0.0,20827.5,,
California State University -Fullerton,California State University-Fullerton,"800 N State College Blvd, Fullerton, California 92831-3599",Suburb: Large,Yes,197189438.0,8354.0,56643939.00 ,6175.00 ,35335,5110,2103,4,Public,CA,92831,Fullerton,Orange County,18505.0,6805.0,7176,16680,1182,1182,0.0,27444.25,,
California State University -Long Beach,California State University-Long Beach,"1250 Bellflower Blvd, Long Beach, California 90840-0115",City: Large,Yes,194443002.0,8652.0,58282386.00 ,6120.00 ,33054,5620,2252,4,Public,CA,90840,Long Beach,Los Angeles County,18405.5,6705.5,7176,16680,1092,1092,0.0,24418.0,,
California State University -Los Angeles,California State University-Los Angeles,"5151 State University Dr, Los Angeles, California 90032-8506",City: Large,Yes,198403828.0,9805.0,39320333.00 ,6339.00 ,22797,3874,1717,4,Public,CA,90032,Los Angeles,Los Angeles County,18334.75,6634.75,7176,16680,1026,1026,0.0,25751.75,,
California State University -Northridge,California State University-Northridge,"18111 Nordhoff St, Northridge, California 91330",City: Large,Yes,240308296.0,9398.0,62424508.00 ,6404.00 ,34799,5111,2052,4,Public,CA,91330,Northridge,Los Angeles County,18533.0,6833.0,7176,16680,1235,1235,0.0,22307.5,,
California State University -Sacramento,California State University-Sacramento,"6000 J St, Sacramento, California 95819-2694",City: Large,Yes,177306908.0,8663.0,60230533.00 ,6481.00 ,28819,3173,1726,4,Public,CA,95819,Sacramento,Sacramento County,18895.5,7195.5,7176,16680,1626,1626,0.0,26047.0,,
California State University -San Bernardino,California State University-San Bernardino,"5500 University Parkway, San Bernardino, California 92407-2393",City: Midsize,Yes,138954818.0,9621.0,33373483.00 ,6056.00 ,18282,2356,1009,4,Public,CA,92407,San Bernardino,San Bernardino County,18525.5,6825.75,7176,16680,1210,1210,0.0,24151.0,,
California State University -San Marcos,California State University-San Marcos,"333 S Twin Oaks Valley Rd, San Marcos, California 92096-0001",Suburb: Large,Yes,79534641.0,8332.0,31086966.00 ,6256.00 ,14837,1216,831,4,Public,CA,92096,San Marcos,San Diego County,19316.5,7616.5,7176,16680,1975,1975,0.0,25301.75,,
California State University Maritime Academy,California State University Maritime Academy,"200 Maritime Academy Dr, Vallejo, California 94590-8181",City: Midsize,Yes,4874489.0,7308.0,3348606.00 ,6806.00 ,911,30,95,4,Public,CA,94590,Vallejo,Solano County,18709.0,7009.0,0,0,0,0,0.0,26550.5,,
California State University-Channel Islands,California State University-Channel Islands,"One University Dr, Camarillo, California 93012",Suburb: Midsize,Yes,41115818.0,8486.0,17208577.00 ,6601.00 ,7112,413,458,4,Public,CA,93012,Camarillo,Ventura County,18445.75,6745.75,7176,16680,1060,1060,0.0,27637.25,,
California State University-Dominguez Hills,California State University-Dominguez Hills,"1000 E Victoria St, Carson, California 90747-0005",City: Small,Yes,97201092.0,8767.0,27375406.00 ,6768.00 ,15365,2612,993,4,Public,CA,90747,Carson,Los Angeles County,18487.0,6787.0,7176,16680,1204,1204,0.0,23467.75,,
California State University-East Bay,California State University-East Bay,"25800 Carlos Bee Blvd, Hayward, California 94542",Suburb: Large,Yes,75229948.0,8738.0,29055599.00 ,6806.00 ,13202,2862,844,4,Public,CA,94542,Hayward,Alameda County,18545.25,6845.25,7176,16680,1258,1258,0.0,25580.75,,
California State University-Monterey Bay,California State University-Monterey Bay,"100 Campus Center, Seaside, California 93955-8001",Suburb: Midsize,Yes,40163760.0,8692.0,13876110.00 ,5143.00 ,6789,861,468,4,Public,CA,93955,Seaside,Monterey County,18627.0,6927.0,7176,16680,1401,1401,0.0,23345.75,,
California State University-Stanislaus,California State University-Stanislaus,"One University Circle, Turlock, California 95382-0299",Suburb: Small,Yes,66107541.0,8931.0,17986186.00 ,5968.00 ,9723,1251,694,4,Public,CA,95382,Turlock,Stanislaus County,18795.0,7095.0,7176,16680,1800,1800,0.0,21272.5,,
California University of Pennsylvania,California University of Pennsylvania,"250 University Ave, California, Pennsylvania 15419-1394",Suburb: Small,Yes,25121180.0,6742.0,24246090.00 ,6603.00 ,4856,1986,405,4,Public,PA,15419,California,Washington County,15362.75,10848.75,9288,13932,3631,3631,0.0,26498.25,,
Calumet College of Saint Joseph,Calumet College of Saint Joseph,"2400 New York Ave, Whiting, Indiana 46394",Suburb: Large,No,3489495.0,15305.0,935930.00 ,6281.00 ,549,169,87,4,Privatenot-for-profit,IN,46394,Whiting,Lake County,0.0,0.0,0,0,0,0,18582.5,28032.5,18400.0,820.0
Calvary University,Calvary University,"15800 Calvary Road, Kansas City, Missouri 64147-1341",City: Large,Yes,611940.0,3154.0,374412.00 ,3532.00 ,348,82,35,4,Privatenot-for-profit,MO,64147,Kansas City,Jackson County,0.0,0.0,0,0,0,0,11295.0,18931.5,7056.0,888.0
Cambridge College,Cambridge College,"500 Rutherford Avenue, Boston, Massachusetts 02129",City: Large,No,1421265.0,3862.0,3561007.00 ,8130.00 ,787,1569,307,4,Privatenot-for-profit,MA,2129,Charlestown,Suffolk County,0.0,0.0,0,0,0,0,15282.0,28632.0,14731.0,0.0
Camden County College,Camden County College,"200 College Drive, Blackwood, New Jersey 08012",Suburb: Large,No,17942259.0,4480.0,6005653.00 ,4996.00 ,9735,0,724,2,Public,NJ,8012,Blackwood,Camden County,4440.0,4440.0,0,0,0,0,0.0,15806.0,,
Cameron University,Cameron University,"2800 West Gore Blvd, Lawton, Oklahoma 73505-6377",City: Small,Yes,18786793.0,6492.0,10055665.00 ,6651.00 ,3816,326,236,4,Public,OK,73505,Lawton,Comanche County,15615.0,6262.5,3564,10278,1026,1026,0.0,15886.5,,
Campbell University,Campbell University,"143 Main Street, Buies Creek, North Carolina 27506",Town: Fringe,Yes,78165077.0,21386.0,14594788.00 ,6990.00 ,3980,2205,573,4,Privatenot-for-profit,NC,27506,Buies Creek,Harnett County,0.0,0.0,0,0,0,0,32092.5,49102.5,13330.0,713.0
Campbellsville University,Campbellsville University,"1 University Dr, Campbellsville, Kentucky 42718-2799",Town: Distant,Yes,40904338.0,12471.0,11513433.00 ,5824.00 ,4740,7641,598,4,Privatenot-for-profit,KY,42718,Campbellsville,Taylor County,0.0,0.0,0,0,0,0,25199.0,39133.0,12240.0,450.0
Canada College,Canada College,"4200 Farm Hill Blvd., Redwood City, California 94061-1099",Suburb: Large,No,5010007.0,1784.0,315759.00 ,7017.00 ,5799,0,224,2,Public,CA,94061,Redwood City,San Mateo County,8076.5,1356.5,0,0,0,0,0.0,24367.25,,
Canisius College,Canisius College,"2001 Main Street, Buffalo, New York 14208-1098",City: Large,Yes,36941191.0,17701.0,9183655.00 ,6440.00 ,2213,889,378,4,Privatenot-for-profit,NY,14208,Buffalo,Erie County,0.0,0.0,0,0,0,0,32448.5,47215.0,14760.0,720.0
Cankdeska Cikana Community College,Cankdeska Cikana Community College,"214 1st Ave, Fort Totten, North Dakota 58335",Rural: Distant,No,493530.0,3739.0,0.00 ,_,160,0,19,2,Public,ND,58335,Fort Totten,Benson County,0.0,0.0,0,0,0,0,3300.0,14075.0,,
Cape Cod Community College,Cape Cod Community College,"2240 Iyannough Rd, West Barnstable, Massachusetts 02668-1599",City: Small,No,5050451.0,3891.0,1727367.00 ,5836.00 ,2907,0,289,2,Public,MA,2668,West Barnstable,Barnstable County,9762.0,4818.0,0,0,0,0,0.0,16607.0,,
Cape Fear Community College,Cape Fear Community College,"411 North Front Street, Wilmington, North Carolina 28401-3910",City: Midsize,No,13884417.0,3545.0,5272861.00 ,5550.00 ,8629,0,536,2,Public,NC,28401,Wilmington,New Hanover County,8892.0,2748.0,0,0,0,0,0.0,16999.5,,
Capital Community College,Capital Community College,"950 Main Street, Hartford, Connecticut 06103",City: Midsize,No,10567590.0,5271.0,696373.00 ,5010.00 ,3083,0,210,2,Public,CT,6103,Hartford,Hartford County,13055.0,4403.0,0,0,0,0,0.0,18916.0,,
Capital University,Capital University,"1 College and Main, Columbus, Ohio 43209-2394",Suburb: Large,Yes,58126533.0,25505.0,15517380.00 ,7386.00 ,2504,722,397,4,Privatenot-for-profit,OH,43209,Columbus,Franklin County,0.0,0.0,0,0,0,0,35107.5,49581.0,12168.0,220.0
Capitol Technology University,Capitol Technology University,"11301 Springfield Rd, Laurel, Maryland 20708",Suburb: Large,Yes,4924684.0,13718.0,1530529.00 ,6654.00 ,400,340,91,4,Privatenot-for-profit,MD,20708,Laurel,Prince George's County,0.0,0.0,0,0,0,0,25227.0,39354.5,11124.0,342.0
Cardinal Stritch University,Cardinal Stritch University,"6801 N Yates Rd, Milwaukee, Wisconsin 53217-3985",Suburb: Large,Yes,16609998.0,17302.0,6650160.00 ,8482.00 ,1248,648,210,4,Privatenot-for-profit,WI,53217,Milwaukee,Milwaukee County,0.0,0.0,0,0,0,0,29713.0,43767.0,10880.0,0.0
Carl Sandburg College,Carl Sandburg College,"2400 Tom L. Wilson Boulevard, Galesburg, Illinois 61401",Rural: Fringe,No,9844739.0,6360.0,1115977.00 ,3321.00 ,1925,0,181,2,Public,IL,61401,Galesburg,Knox County,7666.0,6903.0,0,0,0,0,0.0,12877.0,,
Carleton College,Carleton College,"One North College Street, Northfield, Minnesota 55057",Town: Distant,Yes,48550473.0,38259.0,4634264.00 ,5104.00 ,2115,0,290,4,Privatenot-for-profit,MN,55057,Northfield,Rice County,0.0,0.0,0,0,0,0,53881.5,70231.25,,
Carlos Albizu University -Miami,Carlos Albizu University-Miami,"2173 N.W. 99th Avenue, Miami, Florida 33172-2209",City: Small,No,1671262.0,14533.0,783979.00 ,8340.00 ,120,600,102,4,Privatenot-for-profit,FL,33172,Miami,Miami-Dade County,0.0,0.0,0,0,0,0,12429.0,47846.25,11774.0,966.0
Carlow University,Carlow University,"3333 Fifth Ave, Pittsburgh, Pennsylvania 15213-3165",City: Large,Yes,18962813.0,16634.0,8127190.00 ,7660.00 ,1298,724,297,4,Privatenot-for-profit,PA,15213,Pittsburgh,Allegheny County,0.0,0.0,0,0,0,0,29085.5,43781.5,18766.0,270.0
Carnegie Mellon University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213-3890",City: Large,Yes,123678196.0,36919.0,14912372.00 ,5939.00 ,6618,7562,1805,4,Privatenot-for-profit,PA,15213,Pittsburgh,Allegheny County,0.0,0.0,0,0,0,0,54701.0,71212.0,45037.0,872.0
Carolina Christian College,Carolina Christian College,"4209 Indiana Avenue, Winston Salem, North Carolina 27105",City: Midsize,Yes,340200.0,5670.0,504000.00 ,8400.00 ,50,14,1,4,Privatenot-for-profit,NC,27105,Winston Salem,Forsyth County,0.0,0.0,0,0,0,0,7641.25,14745.0,10000.0,1290.0
Carolina College of Biblical Studies,Carolina College of Biblical Studies,"817 South McPherson Church Road, Fayetteville, North Carolina 28303-5157",City: Midsize,No,733555.0,4614.0,924824.00 ,8563.00 ,166,14,21,4,"primarilyassociate's,Privatenot-for-profit",NC,28303,Fayetteville,Cumberland County,0.0,0.0,0,0,0,0,5799.5,24011.25,5040.0,260.0
Carolinas College of Health Sciences,Carolinas College of Health Sciences,"1200 Blythe Blvd, Charlotte, North Carolina 28203-2861",City: Large,No,232909.0,1834.0,883909.00 ,3180.00 ,476,0,44,4,"primarilyassociate's,Public",NC,28203,Charlotte,Mecklenburg County,0.0,0.0,0,0,0,0,14631.75,45266.0,,
Carroll College,Carroll College,"1601 N Benton Ave, Helena, Montana 59625-0002",Town: Remote,Yes,28873060.0,23764.0,4398229.00 ,6574.00 ,1216,15,127,4,Privatenot-for-profit,MT,59625,Helena,Lewis and Clark County,0.0,0.0,0,0,0,0,34859.5,49074.5,12075.0,200.0
Carroll Community College,Carroll Community College,"1601 Washington Rd, Westminster, Maryland 21157",Rural: Fringe,No,4328115.0,4319.0,1309056.00 ,6060.00 ,3126,0,302,2,Public,MD,21157,Westminster,Carroll County,8105.25,5887.0,0,0,0,0,0.0,14004.25,,
Carroll University,Carroll University,"100 N East Ave, Waukesha, Wisconsin 53186",City: Small,Yes,51337874.0,18709.0,12764933.00 ,6493.00 ,2960,489,395,4,Privatenot-for-profit,WI,53186,Waukesha,Waukesha County,0.0,0.0,0,0,0,0,31575.0,44795.0,11608.0,0.0
Carson-Newman University,Carson-Newman University,"1646 S Russell Ave, Jefferson City, Tennessee 37760",Suburb: Small,Yes,34847409.0,20284.0,7228022.00 ,6506.00 ,1840,885,235,4,Privatenot-for-profit,TN,37760,Jefferson City,Jefferson County,0.0,0.0,0,0,0,0,27640.0,40988.5,9027.0,200.0
Carteret Community College,Carteret Community College,"3505 Arendell St, Morehead City, North Carolina 28557-2989",Town: Distant,No,1431593.0,1665.0,0.00 ,_,871,0,295,2,Public,NC,28557,Morehead City,Carteret County,9224.5,2696.5,0,0,0,0,0.0,23072.25,,
Carthage College,Carthage College,"2001 Alford Park Dr, Kenosha, Wisconsin 53140-1994",Suburb: Midsize,Yes,73692750.0,27893.0,15697989.00 ,6729.00 ,2638,104,314,4,Privatenot-for-profit,WI,53140,Kenosha,Kenosha County,0.0,0.0,0,0,0,0,42716.25,58157.5,45100.0,0.0
Carver Career Center,Carver Career Center,"4799 Midland Dr, Charleston, West Virginia 25306-6397",Suburb: Midsize,No,720405.0,4117.0,0.00 ,_,177,0,12,2,Public,WV,25306,Charleston,Kanawha County,0.0,0.0,0,0,0,0,6061.5,24604.0,,
Casa Loma College -Van Nuys ,Casa Loma College-Van Nuys,"6725 Kester Ave, Van Nuys, California 91405",City: Large,No,882066.0,5250.0,2036514.00 ,7955.00 ,162,0,30,2,Privatenot-for-profit,CA,91405,Van Nuys,Los Angeles County,0.0,0.0,0,0,0,0,35279.0,86848.5,,
Cascadia College,Cascadia College,"18345 Campus Way NE, Bothell, Washington 98011-8205",Suburb: Large,No,2385535.0,4878.0,547285.00 ,4678.00 ,3387,0,133,4,"primarilyassociate's,Public",WA,98011,Bothell,King County,9252.75,3891.75,0,0,0,0,0.0,18267.75,,
Case Western Reserve University,Case Western Reserve University,"10900 Euclid Ave, Cleveland, Ohio 44106",City: Large,Yes,127079802.0,29894.0,17333392.00 ,6149.00 ,5383,6491,2061,4,Privatenot-for-profit,OH,44106,Cleveland,Cuyahoga County,0.0,0.0,0,0,0,0,48368.0,66894.5,46524.0,36.0
Casper College,Casper College,"125 College Drive, Casper, Wyoming 82601-4699",City: Small,Yes,8670050.0,4381.0,2932942.00 ,5266.00 ,3619,0,260,2,Public,WY,82601,Casper,Natrona County,7999.5,3190.5,0,0,0,0,0.0,13498.5,,
Castleton University,Castleton University,"62 Alumni Dr, Castleton, Vermont 05735",Town: Distant,Yes,14474885.0,9529.0,8414367.00 ,6483.00 ,1988,411,206,4,Public,VT,5735,Castleton,Rutland County,27929.0,12017.0,0,0,0,0,0.0,24895.0,11574.0,288.0
Catawba College,Catawba College,"2300 W Innes St, Salisbury, North Carolina 28144",Suburb: Midsize,Yes,29014542.0,23920.0,5393253.00 ,6293.00 ,1324,0,125,4,Privatenot-for-profit,NC,28144,Salisbury,Rowan County,0.0,0.0,0,0,0,0,30073.25,45262.5,2280.0,0.0
Catawba Valley Community College,Catawba Valley Community College,"2550 Hwy 70 SE, Hickory, North Carolina 28602-0699",City: Small,No,25120292.0,6453.0,0.00 ,_,4693,0,472,2,Public,NC,28602,Hickory,Catawba County,7950.5,2382.5,0,0,0,0,0.0,21456.25,,
Catholic University of America,The Catholic University of America,"620 Michigan Avenue, NE, Washington, District of Columbia 20064",City: Large,Yes,75967535.0,26052.0,10465286.00 ,6512.00 ,3279,2492,801,4,Privatenot-for-profit,DC,20064,Washington,District of Columbia,0.0,0.0,0,0,0,0,45036.5,63665.0,48000.0,640.0
Cayuga Community College,Cayuga County Community College,"197 Franklin Street, Auburn, New York 13021-3099",Town: Distant,No,9166398.0,5991.0,4601431.00 ,5153.00 ,3669,0,190,2,Public,NY,13021,Auburn,Cayuga County,9888.5,5252.25,0,0,0,0,0.0,17574.75,,
Cazenovia College,Cazenovia College,"22 Sullivan St, Cazenovia, New York 13035",Town: Fringe,Yes,22056424.0,28169.0,4809697.00 ,6727.00 ,856,9,54,4,Privatenot-for-profit,NY,13035,Cazenovia,Madison County,0.0,0.0,0,0,0,0,34148.5,50747.5,14400.0,800.0
CBD College,CBD College,"3699 Wilshire Blvd., Fourth Floor, Los Angeles, California 90010",City: Large,No,2677191.0,5209.0,6534315.00 ,8519.00 ,788,0,48,2,Privatenot-for-profit,CA,90010,Los Angeles,Los Angeles County,0.0,0.0,0,0,0,0,38640.0,83332.0,,
Cecil College,Cecil College,"One Seahawk Drive, North East, Maryland 21901-1900",Rural: Fringe,No,3421425.0,2376.0,2108407.00 ,5406.00 ,2377,0,255,2,Public,MD,21901,North East,Cecil County,8718.75,7263.75,0,0,0,0,0.0,16781.25,,
Cedar Crest College,Cedar Crest College,"100 College Drive, Allentown, Pennsylvania 18104-6196",City: Midsize,Yes,20696422.0,20350.0,8752633.00 ,8352.00 ,1216,310,222,4,Privatenot-for-profit,PA,18104,Allentown,Lehigh County,0.0,0.0,0,0,0,0,38626.75,52745.75,14287.0,240.0
Cedar Valley College,Cedar Valley College,"3030 North Dallas Ave, Lancaster, Texas 75134-3799",Rural: Fringe,No,17227438.0,3524.0,6754465.00 ,5643.00 ,8786,0,258,2,Public,TX,75134,Lancaster,Dallas County,5220.0,3330.0,0,0,0,0,0.0,17078.75,,
Cedarville University,Cedarville University,"251 N. Main Street, Cedarville, Ohio 45314-0601",Town: Fringe,Yes,52925512.0,16265.0,11029609.00 ,6328.00 ,3879,423,353,4,Privatenot-for-profit,OH,45314,Cedarville,Greene County,0.0,0.0,0,0,0,0,29714.5,40099.0,9065.0,0.0
Centenary College of Louisiana,Centenary College of Louisiana,"2911 Centenary Boulevard, Shreveport, Louisiana 71104",City: Midsize,Yes,16210925.0,29965.0,2375376.00 ,6748.00 ,549,25,80,4,Privatenot-for-profit,LA,71104,Shreveport,Caddo Parish,0.0,0.0,0,0,0,0,36305.0,53650.0,9750.0,0.0
Centenary University,Centenary University,"400 Jefferson St, Hackettstown, New Jersey 07840",Suburb: Large,Yes,24858384.0,23081.0,5602557.00 ,6799.00 ,1193,488,162,4,Privatenot-for-profit,NJ,7840,Hackettstown,Warren County,0.0,0.0,0,0,0,0,32792.0,48848.75,16848.0,216.0
Central Alabama Community College,Central Alabama Community College,"1675 Cherokee Rd, Alexander City, Alabama 35010",Town: Distant,No,4681793.0,3885.0,1327591.00 ,4793.00 ,1799,0,148,2,Public,AL,35010,Alexander City,Tallapoosa County,8327.5,4607.5,0,0,0,0,0.0,14395.0,,
Central Arizona College,Central Arizona College,"8470 N Overfield Rd, Coolidge, Arizona 85128-9030",Rural: Fringe,Yes,10333753.0,3712.0,2377406.00 ,5319.00 ,4793,0,281,2,Public,AZ,85128,Coolidge,Pinal County,9585.0,2565.0,0,0,0,0,0.0,14243.5,,
Central Baptist College,Central Baptist College,"1501 College Avenue, Conway, Arkansas 72034",City: Small,Yes,5961487.0,9646.0,3108406.00 ,7065.00 ,666,0,105,4,Privatenot-for-profit,AR,72034,Conway,Faulkner County,0.0,0.0,0,0,0,0,15900.0,27032.0,,
Central Carolina Community College,Central Carolina Community College,"1105 Kelly Dr, Sanford, North Carolina 27330-9840",Town: Distant,No,9700541.0,5477.0,0.00 ,_,5714,0,415,2,Public,NC,27330,Sanford,Lee County,8690.5,2546.5,0,0,0,0,0.0,16442.75,,
Central Carolina Technical College,Central Carolina Technical College,"506 N Guignard Dr, Sumter, South Carolina 29150-2499",City: Small,No,13123132.0,4111.0,4367786.00 ,5157.00 ,3361,0,207,2,Public,SC,29150,Sumter,Sumter County,8381.75,5923.25,0,0,0,0,0.0,13960.25,,
Central Christian College of Kansas,Central Christian College of Kansas,"1200 S Main, McPherson, Kansas 67460-5740",Town: Remote,Yes,6261573.0,9459.0,4447826.00 ,7438.00 ,677,0,68,4,Privatenot-for-profit,KS,67460,Mcpherson,McPherson County,0.0,0.0,0,0,0,0,19237.5,29729.5,,
Central Christian College of the Bible,Central Christian College of the Bible,"911 E Urbandale Dr, Moberly, Missouri 65270-1997",Town: Distant,Yes,1936218.0,10245.0,761188.00 ,5767.00 ,204,0,24,4,Privatenot-for-profit,MO,65270,Moberly,Randolph County,0.0,0.0,0,0,0,0,13900.0,24309.75,,
Central College,Central College,"812 University, Pella, Iowa 50219",Town: Distant,Yes,28978895.0,26932.0,5318134.00 ,6623.00 ,1173,0,119,4,Privatenot-for-profit,IA,50219,Pella,Marion County,0.0,0.0,0,0,0,0,36609.25,51315.0,,
Central Community College,Central Community College,"3134 West Hwy 34, Grand Island, Nebraska 68802-4903",City: Small,Yes,6723312.0,3055.0,4238011.00 ,4424.00 ,6368,0,382,2,Public,NE,68802,Grand Island,Hall County,8327.5,4607.5,0,0,0,0,0.0,13206.5,,
Central Connecticut State University,Central Connecticut State University,"1615 Stanley St, New Britain, Connecticut 06050",Suburb: Large,Yes,37093178.0,6548.0,34784437.00 ,6693.00 ,9045,2109,981,4,Public,CT,6050,New Britain,Hartford County,23167.0,10412.5,7378,19008,4978,4978,0.0,25790.0,,
Central Georgia Technical College,Central Georgia Technical College,"80 Cohen Walker Drive, Warner Robins, Georgia 31088",City: Small,No,28850074.0,4564.0,8247443.00 ,3963.00 ,8244,0,547,2,Public,GA,31088,Warner Robins,Houston County,5132.75,2827.0,0,0,0,0,0.0,10484.5,,
Central Lakes College,Central Lakes College-Brainerd,"501 West College Drive, Brainerd, Minnesota 56401-3900",Town: Remote,No,8485170.0,4266.0,5195474.00 ,5924.00 ,4357,0,118,2,Public,MN,56401,Brainerd,Crow Wing County,0.0,0.0,0,0,0,0,5495.5,18984.0,,
Central Louisiana Technical Community College,Central Louisiana Technical Community College,"516 Murray Street, Alexandria, Louisiana 71301",City: Small,No,5550478.0,5378.0,4293367.00 ,7532.00 ,2527,0,140,2,Public,LA,71301,Alexandria,Rapides Parish,8203.0,4093.5,0,0,0,0,0.0,18305.75,,
Central Maine Community College,Central Maine Community College,"1250 Turner Street, Auburn, Maine 04210-6498",Rural: Fringe,Yes,10059517.0,4295.0,4915098.00 ,5810.00 ,3218,0,207,2,Public,ME,4210,Auburn,Androscoggin County,6466.0,3676.0,0,0,0,0,0.0,17011.75,,
Central Methodist University- College of Graduate and Extended Studies,Central Methodist University-College of Graduate and Extended Studies,"411 Central Methodist Square, Fayette, Missouri 65248-1198",Town: Distant,No,4445701.0,2894.0,8492888.00 ,6630.00 ,3502,319,179,4,Privatenot-for-profit,MO,65248,Fayette,Howard County,0.0,0.0,0,0,0,0,5867.5,19037.5,5940.0,360.0
Central Methodist University- College of Liberal Arts and Sciences,Central Methodist University-College of Liberal Arts and Sciences,"411 Central Methodist Square, Fayette, Missouri 65248-1198",Town: Distant,Yes,19896845.0,17332.0,5536868.00 ,6491.00 ,1145,0,109,4,Privatenot-for-profit,MO,65248,Fayette,Howard County,0.0,0.0,0,0,0,0,24067.5,38282.5,,
Central Michigan University,Central Michigan University,"106 Warriner Hall, Mount Pleasant, Michigan 48859",Town: Distant,Yes,87985721.0,7882.0,79559898.00 ,6981.00 ,14627,4735,1126,4,Public,MI,48859,Mount Pleasant,Isabella County,23895.0,12645.0,0,0,0,0,0.0,24456.75,16700.0,450.0
Central New Mexico Community College,Central New Mexico Community College,"525 Buena Vista Dr SE, Albuquerque, New Mexico 87106",City: Large,No,43513543.0,4858.0,4989906.00 ,3309.00 ,23096,0,953,2,Public,NM,87106,Albuquerque,Bernalillo County,7191.5,1581.5,0,0,0,0,0.0,12787.0,,
Central Ohio Technical College,Central Ohio Technical College,"1179 University Drive, Newark, Ohio 43055-1767",Suburb: Small,No,5568219.0,4109.0,4299040.00 ,4750.00 ,3469,0,203,2,Public,OH,43055,Newark,Licking County,7206.0,4446.0,0,0,0,0,0.0,16942.0,,
Central Oregon Community College,Central Oregon Community College,"2600 NW College Way, Bend, Oregon 97703",City: Small,Yes,12466338.0,5646.0,7891249.00 ,3515.00 ,4818,0,290,2,Public,OR,97703,Bend,Deschutes County,10386.0,5238.0,0,0,0,0,0.0,19514.25,,
Central Pennsylvania Institute of Science and Technology,Central Pennsylvania Institute of Science and Technology,"540 N Harrison Rd, Pleasant Gap, Pennsylvania 16823",Rural: Fringe,No,1175974.0,7259.0,962969.00 ,7133.00 ,160,0,20,2,Public,PA,16823,Bellefonte,Centre County,0.0,0.0,0,0,0,0,15277.0,28917.75,,
Central Piedmont Community College,Central Piedmont Community College,"1201 Elizabeth Avenue, Charlotte, North Carolina 28204",City: Large,No,35780470.0,3524.0,0.00 ,_,18646,0,1380,2,Public,NC,28204,Charlotte,Mecklenburg County,8936.0,2792.75,0,0,0,0,0.0,19802.5,,
Central Piedmont Community College,Central Piedmont Community College,"1201 Elizabeth Avenue, Charlotte, North Carolina 28204",City: Large,No,35780470.0,3524.0,0.00 ,_,18646,0,1380,2,Public,NC,28204,Charlotte,Mecklenburg County,8936.0,2792.75,0,0,0,0,0.0,19802.5,,
Central State University,Central State University,"1400 Brush Row Rd, Wilberforce, Ohio 45384-1004",Rural: Fringe,Yes,12818465.0,7121.0,11875000.00 ,9135.00 ,2033,0,185,4,Public,OH,45384,Wilberforce,Greene County,23167.0,10412.5,0,0,0,0,0.0,19236.0,,
Central Virginia Community College,Central Virginia Community College,"3506 Wards Rd, Lynchburg, Virginia 24502-2498",City: Small,No,5351094.0,3455.0,989366.00 ,4898.00 ,3813,0,224,2,Public,VA,24502,Lynchburg,Lynchburg city,10689.25,4750.0,0,0,0,0,0.0,16918.75,,
